BOOT_TIME_EPOCH1688710950070
BOOT_UPTIME_MILLIS 4939973
time, accel_x, accel_y, accel_z
4968495, -4.0414124, 0.11971009, 9.212888
4968505, -4.1419687, 0.023942016, 9.179369
4968515, -4.280833, 0.047884032, 9.141062
4968525, -4.381389, -0.062249243, 9.150639
4968535, -4.43885, -0.10055647, 9.11712
4968545, -4.4436383, -0.11492168, 9.136273
4968555, -4.486734, -0.08619126, 9.016563
4968565, -4.477157, -0.08619126, 8.973468
4968575, -4.4675803, -0.023942016, 8.844181
4968585, -4.462792, 0.019153614, 8.791509
4968595, -4.4675803, 0.0047884034, 8.724471
4968605, -4.477157, 0.023942016, 8.690952
4968615, -4.4963107, 0.023942016, 8.576031
4968625, -4.5202527, 0.05746084, 8.585608
4968635, -4.405331, 0.05746084, 8.566454
4968645, -4.4005427, 0.05746084, 8.465898
4968655, -4.3382936, 0.1340753, 8.39886
4968665, -4.367024, 0.16280572, 8.331821
4968675, -4.2281604, 0.24420857, 8.269572
4968685, -4.2664676, 0.30645782, 8.269572
4968695, -4.247314, 0.31124622, 8.255207
4968705, -4.2904096, 0.30645782, 8.236053
4968715, -4.271256, 0.2825158, 8.374918
4968725, -4.1946416, 0.2681506, 8.39886
4968735, -4.050989, 0.17717093, 8.379706
4968745, -3.9217024, 0.12928689, 8.456321
4968755, -3.8498764, 0.11971009, 8.528147
4968765, -3.8738184, 0.095768064, 8.623915
4968775, -3.9600096, -0.019153614, 8.762778
4968785, -4.0653543, -0.01436521, 8.911219
4968795, -4.156334, -0.10534488, 9.021352
4968805, -4.309563, -0.12928689, 9.136273
4968815, -4.462792, -0.19632454, 9.289502
4968825, -4.572925, -0.22505496, 9.351752
4968835, -4.654328, -0.29209262, 9.3421755
4968845, -4.663905, -0.29209262, 9.323022
4968855, -4.6926355, -0.33039984, 9.260772
4968865, -4.697424, -0.29688102, 9.208099
4968875, -4.6926355, -0.32561144, 9.14585
4968885, -4.6255975, -0.2681506, 9.121908
4968895, -4.5920787, -0.24899697, 8.954314
