BOOT_TIME_EPOCH 1546494242777
BOOT_UPTIME_MILLIS 135913
time, touch_ID, touch_x, touch_y, touch_max_diameter, touch_min_diameter, touch_area, touch_pressure
163365, 0, 1732.0, 224.0, 4.0, 3.0, 9.42477796076938, 1.0
163373, 0, 1731.0, 225.0, 4.0, 3.0, 9.42477796076938, 1.0
163380, 0, 1731.0, 225.0, 4.0, 3.0, 9.42477796076938, 1.0
163382, 0, 1731.0, 225.0, 6.0, 4.0, 18.84955592153876, 1.0
163397, 0, 1731.0, 225.0, 4.0, 3.0, 9.42477796076938, 1.0
163398, 0, 1730.0, 226.0, 6.0, 4.0, 18.84955592153876, 1.0
163407, 0, 1730.0, 227.0, 6.0, 4.0, 18.84955592153876, 1.0
163413, 0, 1729.2231, 227.77692, 6.0, 4.0, 18.84955592153876, 1.0
163415, 0, 1729.0, 228.0, 6.0, 4.0, 18.84955592153876, 1.0
163424, 0, 1728.0, 229.0, 6.0, 4.0, 18.84955592153876, 1.0
163430, 0, 1726.524, 230.47594, 6.0, 4.0, 18.84955592153876, 1.0
163432, 0, 1726.0, 231.0, 6.0, 4.0, 18.84955592153876, 1.0
163440, 0, 1725.0, 232.0, 6.0, 4.0, 18.84955592153876, 1.0
163447, 0, 1724.2543, 233.49136, 6.0, 4.0, 18.84955592153876, 1.0
163449, 0, 1724.0, 234.0, 6.0, 4.0, 18.84955592153876, 1.0
163457, 0, 1724.0, 236.0, 6.0, 4.0, 18.84955592153876, 1.0
163466, 0, 1723.0, 237.0, 6.0, 4.0, 18.84955592153876, 1.0
163466, 0, 1723.0, 237.0, 6.0, 4.0, 18.84955592153876, 1.0
163466, 1, 1357.0, 453.0, 4.0, 4.0, 12.566370614359172, 1.0
163474, 0, 1722.0, 239.0, 6.0, 4.0, 18.84955592153876, 1.0
163474, 1, 1357.0, 453.0, 4.0, 4.0, 12.566370614359172, 1.0
163480, 0, 1721.3306, 239.6694, 6.0, 4.0, 18.84955592153876, 1.0
163480, 1, 1357.0, 453.0, 4.0, 4.0, 12.566370614359172, 1.0
163483, 0, 1721.0, 240.0, 6.0, 4.0, 18.84955592153876, 1.0
163483, 1, 1357.0, 453.0, 4.0, 4.0, 12.566370614359172, 1.0
163491, 0, 1720.0, 242.0, 4.0, 4.0, 12.566370614359172, 1.0
163491, 1, 1357.0, 453.0, 4.0, 4.0, 12.566370614359172, 1.0
163496, 0, 1719.3545, 242.64554, 4.0, 4.0, 12.566370614359172, 1.0
163496, 1, 1357.0, 453.0, 4.0, 4.0, 12.566370614359172, 1.0
163499, 0, 1719.0, 243.0, 4.0, 4.0, 12.566370614359172, 1.0
163499, 1, 1357.0, 453.0, 4.0, 4.0, 12.566370614359172, 1.0
